Azerbaijan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000036,0.000036,0.000036,0.000036,0.000073,0.000073,0.000109,0.000109,0.000109,0.000133,0.000133,0.000133,0.000181,0.000181,0.000278,0.000339,0.000339,0.000339,0.000532,0.000532,0.000641,0.000786,0.000871,0.001053,0.001125,0.001476,0.001996,0.002202,0.002528,0.003303,0.003605,0.004343,0.004839,0.005359,0.006303,0.007065,0.007755,0.008674,0.009945,0.011203,0.011989,0.012800,0.013284,0.013889,0.014481,0.015159,0.015522,0.016211,0.016611,0.016913,0.017373,0.017905,0.018365,0.018728,0.019260,0.019563,0.019901,0.020301,0.020772,0.021365,0.021825,0.022430,0.022914,0.023373,0.024003,
Bahamas,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000100,0.000100,0.000300,0.000300,0.000400,0.000400,0.000400,0.000500,0.000500,0.000899,0.000999,0.000999,0.001099,0.001399,0.001399,0.002098,0.002398,0.002398,0.002797,0.002797,0.002897,0.003297,0.003996,0.004096,0.004196,0.004595,0.004595,0.004695,0.004895,0.004895,0.005295,0.005395,0.005495,0.005495,0.005994,0.006494,0.006494,0.007193,0.007293,0.007792,0.007992,0.007992,0.007992,0.007992,0.008092,0.008092,0.008292,0.008292,0.008292,
Bahrain,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001316,0.030263,0.043421,0.043421,0.047368,0.053947,0.061842,0.064474,0.064474,0.068421,0.072368,0.078947,0.111842,0.111842,0.125000,0.144737,0.256579,0.256579,0.256579,0.276316,0.281579,0.281579,0.300000,0.336842,0.365789,0.375000,0.401316,0.439474,0.496053,0.515789,0.551316,0.602632,0.613158,0.626316,0.656579,0.677632,0.746053,0.748684,0.846053,0.884211,0.905263,0.921053,0.994737,1.067105,1.082895,1.167105,1.217105,1.368421,1.494737,1.790789,2.010526,2.198684,2.236842,2.289474,2.332895,2.475000,2.509211,2.596053,2.667105,2.917105,3.313158,3.405263,3.482895,3.582895,3.698684,3.843421,4.000000,4.171053,4.321053,4.451316,4.648684,
Bangladesh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000038,0.000061,0.000077,0.000108,0.000131,0.000154,0.000192,0.000207,0.000254,0.000300,0.000300,0.000338,0.000369,0.000369,0.000369,0.000376,0.000392,0.000415,0.000430,0.000469,0.000538,0.000676,0.000945,0.001260,0.001675,0.002535,0.003257,0.003703,0.004771,0.006169,0.007774,0.009457,0.012077,0.014120,0.016471,0.018868,0.022647,0.025981,0.028977,0.032158,0.036022,0.038396,0.041607,0.045425,0.049643,0.054567,0.058900,0.063286,0.067527,0.072636,0.077921,
Barbados,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004651,0.004651,0.011628,0.011628,0.013953,0.032558,0.039535,0.041860,0.041860,0.041860,0.055814,0.060465,0.076744,0.076744,0.079070,0.079070,0.106977,0.118605,0.120930,0.130233,0.139535,0.146512,0.146512,0.153488,0.155814,0.158140,0.165116,0.167442,0.167442,0.169767,0.174419,0.174419,0.174419,0.174419,0.174419,0.174419,0.174419,0.176744,0.179070,0.183721,0.183721,0.186047,0.186047,0.186047,0.188372,0.188372,0.188372,0.190698,0.190698,
Belarus,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000005,0.000005,0.000005,0.000005,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000044,0.000044,0.000059,0.000133,0.000133,0.000133,0.000177,0.000177,0.000251,0.000251,0.000340,0.000375,0.000375,0.000399,0.000399,0.000424,0.000424,0.000463,0.000463,0.000463,0.000749,0.000749,0.000803,0.001498,0.001730,0.002168,0.002770,0.003450,0.004243,0.005254,0.007323,0.009763,0.010970,0.012705,0.014386,0.016170,0.018373,0.020719,0.023552,0.023552,0.023552,0.030871,0.033133,0.035883,0.039535,0.043236,0.047262,0.051565,0.055636,0.060165,0.064960,0.069129,0.073515,0.078005,0.082327,0.086191,
Belgium,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000033,0.000066,0.000264,0.000429,0.000760,0.001651,0.003600,0.005581,0.006605,0.007893,0.008818,0.010370,0.010370,0.018461,0.022754,0.029260,0.034941,0.041050,0.049075,0.059280,0.074538,0.092966,0.112318,0.123613,0.140984,0.163045,0.205911,0.240555,0.301651,0.357860,0.392966,0.421896,0.461162,0.506869,0.553831,0.608686,0.650297,0.687384,0.732959,0.772886,0.825066,0.880680,0.925297,0.979095,1.010205,1.027708,1.108752,1.149571,1.193461,1.227972,1.271334,1.320443,1.352576,1.383388,1.413375,1.462781,1.496863,1.523580,1.541843,1.563210,1.580548,1.602345,1.619287,1.635304,1.648151,1.660073,
Benin,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000009,0.000018,0.000018,0.000018,0.000018,0.000018,0.000044,0.000053,0.000053,0.000053,0.000053,0.000053,0.000053,0.000053,0.000080,0.000115,0.000115,0.000142,0.000142,0.000195,0.000231,0.000231,0.000231,0.000231,0.000310,0.000310,0.000310,0.000310,0.000310,0.000310,0.000310,0.000310,0.000310,0.000310,0.000479,0.000479,0.000479,0.000479,0.000479,0.000479,0.000568,0.000568,0.000568,0.000568,0.000568,0.000798,0.000798,0.000798,0.000851,
Bhutan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000026,0.000052,0.000052,0.000052,0.000052,0.000052,0.000052,0.000052,0.000079,0.000079,0.000105,0.000105,0.000105,0.000105,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000131,0.000157,0.000157,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,0.000184,
Bolivia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,0.000003,0.000009,0.000009,0.000010,0.000010,0.000011,0.000011,0.000014,0.000018,0.000022,0.000025,0.000027,0.000030,0.000040,0.000056,0.000068,0.000075,0.000090,0.000099,0.000106,0.000114,0.000122,0.000128,0.000145,0.000169,0.000179,0.000194,0.000244,0.000247,0.000254,0.000277,0.000305,0.000327,0.000366,0.000407,0.000429,0.000455,0.000480,0.000521,0.000552,0.000562,0.000649,0.000745,0.000799,0.000877,0.000936,0.000936,0.001025,0.001025,0.001134,0.001134,0.001471,0.001552,
